,Image,Accuracy,F1,Jaccard,Recall,Precision
448,100093_1-139,1.0,1.0,1.0,1.0,1.0
449,100093_1-142,0.9970970153808594,0.0,0.0,1.0,0.0
450,100093_1-143,0.999786376953125,0.0,0.0,1.0,0.0
451,100093_1-155,0.9999732971191406,0.0,0.0,1.0,0.0
452,100093_1-158,1.0,1.0,1.0,1.0,1.0
453,100093_1-162,0.999847412109375,0.0,0.0,1.0,0.0
454,100093_1-165,1.0,1.0,1.0,1.0,1.0
455,100094_1-009,1.0,1.0,1.0,1.0,1.0
456,100094_1-011,1.0,1.0,1.0,1.0,1.0
457,100094_1-017,1.0,1.0,1.0,1.0,1.0
458,100094_1-023,1.0,1.0,1.0,1.0,1.0
459,100094_1-027,1.0,1.0,1.0,1.0,1.0
460,100094_1-037,1.0,1.0,1.0,1.0,1.0
461,100094_1-042,1.0,1.0,1.0,1.0,1.0
462,100094_1-063,0.9967193603515625,0.9664377146425226,0.9350551276242259,0.9976633631455967,0.9371073942329524
463,100094_1-069,0.9933547973632812,0.94443026668368,0.894711393170142,0.9927570250150896,0.9005901320192249
464,100094_1-074,0.9913444519042969,0.9415823485492136,0.8896132327900754,0.933483077237225,0.949823394971951
465,100094_1-090,0.9938163757324219,0.9671416698761477,0.9363739843780665,0.9674358246482014,0.966847693928832
466,100094_1-096,0.9841766357421875,0.9120590230664858,0.8383350222152934,0.9277550140176839,0.8968852937497394
467,100094_1-100,0.9919967651367188,0.9573160807291666,0.9181268292682927,0.9392390913808935,0.9761025598473219
468,100094_1-106,0.9926376342773438,0.9574814945364821,0.9184311736612992,0.9446207346229081,0.9706972796712378
469,100094_1-120,0.9912567138671875,0.0,0.0,1.0,0.0
470,100094_1-125,0.9992408752441406,0.0,0.0,1.0,0.0
471,100094_1-129,1.0,1.0,1.0,1.0,1.0
472,100094_1-132,0.9995841979980469,0.0,0.0,1.0,0.0
473,100094_1-133,1.0,1.0,1.0,1.0,1.0
474,100094_1-134,0.9992828369140625,0.0,0.0,1.0,0.0
475,100094_1-136,1.0,1.0,1.0,1.0,1.0
476,100094_1-138,1.0,1.0,1.0,1.0,1.0
477,100094_1-140,1.0,1.0,1.0,1.0,1.0
478,100094_1-141,0.9997711181640625,0.0,0.0,1.0,0.0
479,100094_1-146,1.0,1.0,1.0,1.0,1.0
480,100094_1-154,0.9961090087890625,0.0,0.0,1.0,0.0
481,100094_1-156,0.9900436401367188,0.0,0.0,1.0,0.0
482,100094_1-158,0.9984626770019531,0.0,0.0,1.0,0.0
483,100094_1-161,0.9999160766601562,0.0,0.0,1.0,0.0
484,100095_1-019,1.0,1.0,1.0,1.0,1.0
485,100095_1-023,1.0,1.0,1.0,1.0,1.0
486,100095_1-032,1.0,1.0,1.0,1.0,1.0
487,100095_1-037,1.0,1.0,1.0,1.0,1.0
488,100095_1-038,1.0,1.0,1.0,1.0,1.0
489,100095_1-052,0.9956436157226562,0.9613850003381349,0.925641359552025,0.9720341880341881,0.950966619840792
490,100095_1-061,0.9925994873046875,0.9486446421008048,0.9023063752643771,0.9339588219963513,0.9637996880210855
491,100095_1-067,0.9815597534179688,0.8882157062251411,0.7989101044136612,0.9361442846697539,0.8449557833604646
492,100095_1-081,0.9721183776855469,0.8814494022999693,0.7880281894376613,0.8739506609629797,0.8890779399253975
493,100095_1-086,0.9681968688964844,0.8612419486377179,0.7562993276819643,0.9846253377478403,0.7653375140507602
494,100095_1-087,0.9760856628417969,0.8995658373251734,0.817464477055672,0.9773035819960316,0.8332838656060786
495,100095_1-090,0.9757614135742188,0.8969075510270306,0.8130846619991763,0.9855589231592085,0.8228884456220786
496,100095_1-103,0.9767494201660156,0.8690852073802007,0.7684798298260275,0.9645292014302741,0.790829489484794
497,100095_1-109,0.9825515747070312,0.786161757830762,0.6476659990756432,0.6520356727413726,0.9897586815773984
498,100095_1-115,0.9985389709472656,0.0,0.0,1.0,0.0
499,100095_1-118,0.9870948791503906,0.0,0.0,1.0,0.0
500,100095_1-121,0.9874839782714844,0.0,0.0,1.0,0.0
501,100095_1-126,1.0,1.0,1.0,1.0,1.0
502,100095_1-131,1.0,1.0,1.0,1.0,1.0
503,100095_1-139,1.0,1.0,1.0,1.0,1.0
504,100095_1-142,0.9985275268554688,0.0,0.0,1.0,0.0
505,100095_1-144,1.0,1.0,1.0,1.0,1.0
